,country,epoch,set,metric,weight_kind,rmse,mse,r2
105,Sierra Leone,2,test,overall,(wENS 0.9999),4.820253398271378,27.34687587753654,0.5775269115636157
106,Sierra Leone,2,test,mean,(wENS 0.9999),6.848068245339466,46.89603869282675,0.8112988454722607
107,Sierra Leone,2,test,std,(wENS 0.9999),2.7924385512032903,7.7977130622463315,0.34375497765497076
108,Sierra Leone,2,test,overall,(wENS 0.99999),4.920478770903137,28.325963199027974,0.5509182323164752
109,Sierra Leone,2,test,mean,(wENS 0.99999),6.948988535266999,48.28844166327219,0.8056960684485567
110,Sierra Leone,2,test,std,(wENS 0.99999),2.8919690065392754,8.363484734783762,0.2961403961843937
111,Sierra Leone,2,test,overall,(wINS),4.820691106206615,27.097740978532293,0.5640666177100939
112,Sierra Leone,2,test,mean,(wINS),6.785042968036042,46.03680807809535,0.8147562336339221
113,Sierra Leone,2,test,std,(wINS),2.856339244377187,8.158673878969239,0.3133770017862658
114,Sierra Leone,2,test,overall,(wISNS),4.8807861053959005,28.36682816662695,0.5830800824268858
115,Sierra Leone,2,test,mean,(wISNS),7.012629242214664,49.17696888876421,0.8021207960384945
116,Sierra Leone,2,test,std,(wISNS),2.748942968577138,7.556687444489687,0.3640393688152771
117,Sierra Leone,2,test,overall,sklearn (w+s),5.253841200592699,33.25793919998287,0.5348100823712408
118,Sierra Leone,2,test,mean,sklearn (w+s),7.631884900556504,58.24566713534236,0.7656299990139956
119,Sierra Leone,2,test,std,sklearn (w+s),2.8757975006288934,8.27021126462339,0.30399016572848603
120,Sierra Leone,2,test,overall,sklearn (w),5.018712479554319,30.23835171723824,0.5706051282630511
121,Sierra Leone,2,test,mean,sklearn (w),7.266128054120798,52.7966168988813,0.7875559889133757
122,Sierra Leone,2,test,std,sklearn (w),2.7712969049878393,7.680086535595178,0.35365426761272634
123,Sierra Leone,2,test,overall,sklearn (s),4.948298664092766,28.89979036063287,0.5588777242111931
124,Sierra Leone,2,test,mean,sklearn (s),7.049281931891589,49.69237575529321,0.8000468922829429
125,Sierra Leone,2,test,std,sklearn (s),2.847315396293942,8.107204965972528,0.31770855613944315
126,Sierra Leone,3,test,overall,none,5.060456332036963,31.168922495911513,0.5896079199584341
127,Sierra Leone,3,test,mean,none,7.418570877061976,55.03519385799209,0.7767775520443101
128,Sierra Leone,3,test,std,none,2.702341787011949,7.302651133830934,0.4024382878725581
129,Sierra Leone,3,test,overall,(w+s),5.242566309939427,33.42582899913492,0.5584507847289777
130,Sierra Leone,3,test,mean,(w+s),7.680050152967524,58.98317035209649,0.7607645807852377
131,Sierra Leone,3,test,std,(w+s),2.8050824669113315,7.86848764617336,0.3561369886727176
132,Sierra Leone,3,test,overall,(wX),5.1174208212838,31.612346007261614,0.5694354033139214
133,Sierra Leone,3,test,mean,(wX),7.446444252929057,55.44953201198018,0.7750969987377603
134,Sierra Leone,3,test,std,(wX),2.788397389638544,7.7751600025430445,0.3637738078900825
135,Sierra Leone,3,test,overall,(wENS 0.1),5.078932714284163,31.279851571515287,0.5818111572452733
136,Sierra Leone,3,test,mean,(wENS 0.1),7.420789681583702,55.06811949829913,0.7766440058257066
